 ;; 
 ;Moški;Ženske
0 let;21;21
1 leto;2;2
2 leti;0;1
3 leta;0;0
4 leta;0;0
5 let;1;0
6 let;1;0
7 let;0;1
8 let;0;0
9 let;1;3
10 let;0;0
11 let;0;0
12 let;0;1
13 let;3;1
14 let;1;2
15 let;1;0
16 let;3;2
17 let;3;0
18 let;4;4
19 let;2;2
20 let;6;2
21 let;6;1
22 let;5;2
23 let;7;7
24 let;3;4
25 let;15;1
26 let;5;2
27 let;8;3
28 let;6;2
29 let;11;2
30 let;10;4
31 let;9;1
32 let;11;3
33 let;8;3
34 let;20;4
35 let;5;3
36 let;9;8
37 let;12;4
38 let;17;10
39 let;22;6
40 let;20;9
41 let;17;10
42 let;17;12
43 let;21;7
44 let;24;13
45 let;20;15
46 let;33;14
47 let;36;21
48 let;45;20
49 let;39;22
50 let;56;24
51 let;71;35
52 let;94;29
53 let;66;41
54 let;82;35
55 let;103;43
56 let;112;60
57 let;106;60
58 let;123;58
59 let;135;63
60 let;156;78
61 let;186;84
62 let;187;80
63 let;187;93
64 let;224;103
65 let;186;84
66 let;234;108
67 let;209;125
68 let;241;133
69 let;222;103
70 let;235;118
71 let;202;105
72 let;192;120
73 let;241;146
74 let;257;166
75 let;271;182
76 let;284;204
77 let;317;239
78 let;288;262
79 let;316;240
80 let;353;326
81 let;348;304
82 let;363;377
83 let;349;401
84 let;320;485
85 let;348;448
86 let;346;509
87 let;269;497
88 let;266;517
89 let;252;475
90 let;187;440
91 let;165;473
92 let;126;365
93 let;98;325
94 let;92;301
95 let;45;213
96 let;41;160
97 let;31;112
98 let;19;56
99 let;10;31
100 + let;15;82
